Name,Address,Website,Phone
Mission BBQ,"13612 Bruce B Downs Blvd, Tampa, FL 33613",www.mission-bbq.com,(813) 443-9443
Happi Wok,"13606 University Plaza St, Tampa, FL 33613",www.happiwok.com,(813) 971-8559
Hooters,"13606 Bruce B Downs Blvd, Tampa, FL 33613",www.originalhooters.com,(813) 972-1682
Checkers,"2701 E Fletcher Ave, Tampa, FL 33612",www.checkers.com,(813) 615-1550
Happy Fish,"4046 Fiesta Plaza, Tampa, FL 33607",www.happyfishtampa.com,(813) 871-6953
Bonefish Grill,"3665 Henderson Blvd, Tampa, FL 33609",www.bonefishgrill.com,(813) 876-3535
Taco Bus,"2320 E Fletcher Ave, Tampa, FL 33612",www.taco-bus.com,(813) 977-6808
Dairy Queen,"2222 E Fletcher Ave, Tampa, FL 33612",www.dairyqueen.com,(813) 971-6492
Burger King,"2902 E Fletcher Ave, Tampa, FL 33612",www.bk.com,(813) 374-8917
Red Lobster,"2625 E Busch Blvd, Tampa, FL 33612",www.redlobster.com,(813) 933-4093
